Dump of file ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
        2432 number of functions
        2432 number of names

    ordinal hint RVA      name

            135   7E 000E0FB0 LdrGetFileNameFromLoadAsDataTable
            136   7F 000844B0 LdrGetKnownDllSectionHandle
            137   80 00081BD0 LdrGetProcedureAddress
            138   81 0006C020 LdrGetProcedureAddressEx
            139   82 0002FDC0 LdrGetProcedureAddressForCaller
            140   83 000D05B0 LdrInitShimEngineDynamic
            141   84 000CCE20 LdrInitializeEnclave
            142   85 00074C10 LdrInitializeThunk
            143   86 000CDFE0 LdrIsModuleSxsRedirected
            144   87 0007DB10 LdrLoadAlternateResourceModule
            145   88 00034EA0 LdrLoadAlternateResourceModuleEx
            146   89 00016A10 LdrLoadDll
            147   8A 000CCFC0 LdrLoadEnclaveModule
            148   8B 0007D140 LdrLockLoaderLock
            149   8C 000E1A40 LdrOpenImageFileOptionsKey
            150   8D 00080940 LdrProcessInitializationComplete
            151   8E 000E3B50 LdrProcessRelocationBlock
            152   8F 000E3B80 LdrProcessRelocationBlockEx
            153   90 0007A3C0 LdrQueryImageFileExecutionOptions
            154   91 0007A400 LdrQueryImageFileExecutionOptionsEx
            155   92 0007A4A0 LdrQueryImageFileKeyOption
            156   93 000CE1D0 LdrQueryModuleServiceTags
            157   94 000CE9D0 LdrQueryOptionalDelayLoadedAPI
            158   95 00001430 LdrQueryProcessModuleInformation
            159   96 00084BF0 LdrRegisterDllNotification
            160   97 0008BE20 LdrRemoveDllDirectory
            161   98 000738D0 LdrRemoveLoadAsDataTable
            162   99 000E4060 LdrResFindResource
            163   9A 00048AF0 LdrResFindResourceDirectory
            164   9B 0004B370 LdrResGetRCConfig
            165   9C 00089F00 LdrResRelease
            166   9D 00048B80 LdrResSearchResource
            167   9E 00010380 LdrResolveDelayLoadedAPI
            168   9F 000CEA90 LdrResolveDelayLoadsFromDll
            169   A0 00034C60 LdrRscIsTypeExist
            170   A1 000843E0 LdrSetAppCompatDllRedirectionCallback
            171   A2 0007FCE0 LdrSetDefaultDllDirectories
            172   A3 0007FD20 LdrSetDllDirectory
            173   A4 00083E10 LdrSetDllManifestProber
            174   A5 000CE670 LdrSetImplicitPathOptions
            175   A6 0008BFE0 LdrSetMUICacheType
            176   A7 0005DAA0 LdrShutdownProcess
            177   A8 00017450 LdrShutdownThread
            178   A9 0007FFD0 LdrStandardizeSystemPath
            179   AA 001812F0 LdrSystemDllInitBlock
            180   AB 0006A7D0 LdrUnloadAlternateResourceModule
            181   AC 0006A7E0 LdrUnloadAlternateResourceModuleEx
